id,text,sentiment
0,"Владимир Владимирович, накануне встречи много говорили о том, что тема национальной ПРО может стать своего рода раздражителем для участников «восьмерки». ",neutral
1,"Как после завершения мероприятия Вам видится: были разговоры на эту тему или их не было?",neutral
2,"Вы стали «звездой» форума. ",neutral
3,"Канцлер ФРГ Герхард Шредер заявил, что Россия должна стать полноправным участником «большой восьмерки». ",neutral
4,"Какой Вы видите роль России в «большой восьмерке» в будущем?",neutral
5,"Известно, что политические лидеры, с которыми Вы вели переговоры, одобрительно восприняли результаты Вашего визита в Северную Корею.",neutral
6,"У Вас есть ощущение, что руководители развитых стран мира действительно готовы разделить всю полноту риска и ответственности, скажем, за начавшийся процесс интеграции Северной Кореи в мировое сообщество? ",neutral
7,"Или это останется таким российским «фирменным блюдом»?",neutral
8,"Владимир Владимирович, скажите, пожалуйста, как Ваше участие в этой встрече отразится на внутренней жизни России? ",positive
9,"Это все внешняя сторона, в том числе Ваше общение с лидерами, которые здесь были. ",positive
10,"А как это применимо к общественно-политической жизни России, к Вашему имиджу как главы государства внутри нее?",positive
11,"Владимир Владимирович, скажите пожалуйста, куда Вы собираетесь поехать после Окинавы ",neutral
12,"и что Вы намерены делать там, куда Вы собираетесь поехать?",neutral
13,"Какое у Вас осталось впечатление от встречи с господином Жаком Шираком?",neutral
14,"Владимир Владимирович, известно, что не только Россия, но и многие союзники США, в частности Франция и Германия, критически относятся к планам США по развертыванию ПРО.",neutral
15,"На Ваш взгляд, после Вашего визита в Северную Корею и после тех встреч, которые Вы провели здесь, изменится ли это отношение",positive
16,"станет ли это противодействие планам ПРО со стороны союзников США еще более сильным?",neutral
17,"Многим известны Ваши оценки Ким Чен Ира. ",positive
18,"Можно ли сказать, что ваш визит в КНДР свидетельствует о радикальных переменах в политике? ",neutral
19,"Подлинная ли это смена курса? ",neutral
20,"Какие мотивы кроются за всем этим?",positive
21,"Владимир Владимирович, Ваши общие впечатления от саммита ",neutral
22,"и какие наиболее важные для России, на Ваш взгляд, вопросы обсуждались сегодня на первом рабочем заседании?",neutral
23,"В рамках саммита Вы уже провели четыре двусторонние встречи: с Федеральным канцлером ФРГ, премьер-министрами Великобритании, Японии и Италии. ",positive
24,"Каковы Ваши впечатления от этих встреч ",positive
25,"и что Вы ожидаете от завтрашней встречи с Джорджем Бушем?",positive
26,"В каком ключе Вы обсуждали ситуацию на Балканах, в частности в Македонии, ",negative
27,"и как Вы оцениваете перспективы ее развития?",positive
28,"Владимир Владимирович, подводя итоги саммита, ",neutral
29,"какие положения из принятых заявлений о глобальном партнерстве Вам представляются наиболее важными, в частности для России? ",neutral
30,"Были приняты три заявления. Что, по Вашему мнению, в них является важнейшим?",neutral
31,"Обсуждался ли на саммите вопрос о проведении внеочередного саммита «восьмерки» в Петербурге в 2003 году? ",neutral
32,"Если поднимался, то каковы результаты обсуждения?",positive
33,"Каковы итоги сегодняшней двусторонней встречи с Джорджем Бушем?",positive
34,"Могли бы Вы прокомментировать те решения, которые были приняты сегодня по террору, ",positive
35,"и были ли какие-то разногласия между странами – участницами «восьмерки» при обсуждении этого вопроса?",positive
36,"Не могли бы Вы еще раз прояснить, что для России является самым важным из итогов этого саммита? ",positive
37,"И второй вопрос: Вы высоко оценили то, как был организован саммит здесь, в 2006 году он будет проходить в России. ",neutral
38,"Думали ли Вы где?",neutral
39,"Вы два дня провели в этом прекрасном месте. ",neutral
40,"Скажите, какие человеческие чувства Вы испытываете, ",neutral
41,"что Вам понравилось больше всего, ",neutral
42,"с каким чувством Вы будете отсюда уезжать?",neutral
43,"На недавней встрече с журналистами Вы сказали, что Ясира Арафата нельзя исключать из процесса ближневосточного урегулирования. ",neutral
44,"Президент Буш, напротив, здесь говорил об обратном. ",positive
45,"Говорит ли это о том, что между Москвой и Вашингтоном возникли разногласия по ближневосточной проблематике, ",neutral
46,"возможно, Вам здесь удалось найти точки соприкосновения по данной теме?",positive
47,"Что касается Африки. ",neutral
48,"«Восьмерка» творчески подошла к плану, предложенному африканскими странами. ",neutral
49,"Какое здесь участие России, ее роль, место, может быть, даже в глобальной проблеме – борьбе с бедностью?",positive
50,"Как Вы относитесь к антиглобалистам? ",neutral
51,"Не кажется ли Вам, что есть что-то несуразное в том, что «восьмерка» забирается все выше в горы для того, чтобы решать проблемы глобального характера, а количество людей, возражающих против этого, становится все больше. ",neutral
52,"Каковы пути диалога между этими двумя сторонами?",neutral
53,"Какая часть из 20 миллиардов, выделенная на ликвидацию оружия массового уничтожения, будет выделена России, а какая часть – другим странам СНГ? ",neutral
54,"Если можно, назовите эти страны. ",neutral
55,"И решено ли уже, под какие объекты будут выделяться эти деньги?",neutral
56,"Как бы Вы оценили результаты саммита, ",positive
57,"что можно выделить, ",neutral
58,"что удалось сделать?",neutral
59,"Завершен недельный международный марафон. ",positive
60,"Можете ли Вы, по итогам общения с десятками глав государств, сказать, что меняется в отношении к России?",neutral
61,"Как представляется, в эти дни, после саммита ШОС, серии крупных международных встреч в Санкт-Петербурге и Эвиане, формируется новая иерархия мира, и Россия в ней – на привилегированном положении. ду?",positive
62,"Но есть, с другой стороны, США, которые стоят особняком и действуют в одиночку. ",positive
63,"Что Вы можете сказать по этому поводу?",neutral
64,"Что Вы можете сказать о ситуации с иранской ядерной программой?",neutral
65,"Принята резолюция ООН. ",neutral
66,"Эта тема активно обсуждалась и будет обсуждаться. ",positive
67,"Что дальше с этой проблемой ",neutral
68,"– не с точки зрения «бумажного» решения, а на практике?",neutral
69,"Каково отношение России к идее Большого Ближнего Востока? ",positive
70,"Что это за новое географическое понятие – ББВ? ",positive
